City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Nizwa,22.93,57.53,60.44,74,0,2.3,clear sky
330,Kudahuvadhoo,2.67,72.89,82.85,67,79,6.17,broken clouds
331,Raiwala,30.02,78.22,56.98,37,17,3.74,few clouds
332,Kalianget,-7.05,113.93,80.58,81,99,4.05,light rain
333,Bairiki,1.33,172.98,78.8,94,75,11.41,light intensity shower rain
334,Airai,-8.93,125.41,62.49,99,100,1.1,overcast clouds
335,Omsukchan,62.53,155.8,-11.78,87,100,3.91,overcast clouds
336,Banda Aceh,5.56,95.32,77.47,80,99,2.77,overcast clouds
337,Tete,-16.16,33.59,89.6,49,0,9.17,clear sky
338,Lins,-21.68,-49.74,88.16,43,99,5.97,overcast clouds
339,Maniitsoq,65.42,-52.9,25.54,85,100,11.18,overcast clouds
340,Tunceli,39.11,39.55,33.8,80,0,4.7,clear sky
341,Charters Towers,-20.1,146.27,66.47,88,0,7.52,clear sky
342,Pula,44.87,13.85,51.8,93,90,4.7,overcast clouds
343,Itoman,26.12,127.67,68.0,60,75,14.99,broken clouds
344,Namatanai,-3.67,152.43,79.84,80,100,5.75,overcast clouds
345,Turukhansk,65.82,87.98,-3.17,93,100,6.29,overcast clouds
346,Port Elizabeth,-33.92,25.57,62.6,93,73,3.36,light rain
347,Jawhar,2.78,45.5,76.23,79,0,10.89,clear sky
348,Rehoboth,-23.32,17.08,73.11,21,53,10.74,broken clouds
349,Lalibela,12.03,39.03,57.74,75,4,5.64,clear sky
350,Saldanha,-33.01,17.94,60.8,77,0,16.11,clear sky
351,Quatre Cocos,-20.21,57.76,73.4,88,75,4.7,shower rain
352,Kyaikkami,16.08,97.57,75.99,71,67,5.88,broken clouds
353,Huilong,31.81,121.66,45.0,87,92,10.25,overcast clouds
354,Rennes,48.17,-1.67,48.2,87,0,8.05,clear sky
355,Khasan,42.43,130.64,25.09,81,81,16.84,broken clouds
356,Warrnambool,-38.38,142.48,54.0,96,97,16.28,overcast clouds
357,Gizo,-8.1,156.84,82.74,74,60,3.38,light rain
358,Alofi,-19.06,-169.92,80.6,83,75,5.82,broken clouds
359,Ribeira Grande,38.52,-28.7,55.4,66,40,5.82,scattered clouds
360,Calama,-22.47,-68.93,77.0,10,0,27.51,clear sky
361,Pizarro,4.95,-77.37,80.85,78,96,8.55,light rain
362,Thinadhoo,0.53,72.93,82.33,69,100,6.78,overcast clouds
363,Tagusao,9.19,117.81,79.41,75,100,2.75,overcast clouds
364,Zhangjiakou,40.81,114.88,17.85,86,54,3.29,broken clouds
365,Hoquiam,46.98,-123.89,48.99,87,1,3.36,clear sky
366,Gidole,5.65,37.37,59.36,93,6,3.94,light rain
367,Port Blair,11.67,92.75,80.56,79,100,14.2,light rain
368,Barra Do Bugres,-15.07,-57.18,97.52,30,49,7.52,scattered clouds
369,Dedza,-14.38,34.33,66.45,64,42,3.71,scattered clouds
370,Vicuna,-30.03,-70.71,64.4,68,0,13.87,clear sky
371,Dingle,11.0,122.67,75.67,91,100,7.58,overcast clouds
372,Wellington,-41.29,174.78,57.2,93,100,21.92,moderate rain
373,Mayo,38.89,-76.51,59.0,41,1,10.29,clear sky
374,Porteirinha,-15.74,-43.03,76.84,74,17,8.7,light rain
375,Tuatapere,-46.13,167.68,57.0,69,97,11.01,overcast clouds
376,Pemangkat,1.17,108.97,77.54,82,100,0.49,overcast clouds
377,Ulladulla,-35.35,150.47,77.0,61,100,2.24,overcast clouds
378,Kisumu,-0.1,34.76,68.52,79,100,5.66,light rain
